Wavelength/nm	Absorbance	Reference	Sample	Pr. Code:	000	Const1:	 0	Const2:	 0
352.95	-.1	280	406
353.69	-.1	274	401
354.42	-.1	274	402
355.15	-.1	271	398
355.89	-.1	278	404
356.62	-.1	278	397
357.35	-.1	276	397
358.08	-.1	282	402
358.82	-.1	280	401
359.55	-.1	284	403
360.28	-.1	281	404
361.01	-.1	282	400
361.74	-.1	285	401
362.47	-.1	284	402
363.21	-.1	286	401
363.94	-.1	286	395
364.67	-.1	286	398
365.40	-.1	284	395
366.13	-.1	283	390
366.86	-.1	282	386
367.59	-.1	287	389
368.32	-.1	285	380
369.05	-.1	273	371
369.78	-.1	274	372
370.51	-.1	264	357
371.24	-.1	265	356
371.97	-.1	265	347
372.70	-.1	261	347
373.43	-.1	264	344
374.16	-.1	263	343
374.89	-.1	265	346
375.62	-.1	278	359
376.35	-.1	278	358
377.08	-.1	282	357
377.80	-.1	281	360
378.53	-.096	290	362
379.26	-.098	308	386
379.99	-.1	300	378
380.72	-.099	298	374
381.44	-.087	294	359
382.17	-.084	287	348
382.90	-.079	291	349
383.63	-.08	275	331
384.35	-.081	273	329
385.08	-.077	262	313
385.81	-.08	257	309
386.54	-.067	256	299
387.26	-.059	260	298
387.99	-.063	264	305
388.72	-.053	269	304
389.44	-.054	258	292
390.17	-.049	252	282
390.89	-.047	254	283
391.62	-.043	252	278
392.35	-.039	263	288
393.07	-.031	301	323
393.80	-.03	281	301
394.52	-.034	261	282
395.25	-.021	265	278
395.97	-.019	264	276
396.70	-.018	264	275
397.42	-.014	274	283
398.15	-.007	292	297
398.87	-.004	325	328
399.60	 .007	305	300
400.32	 .006	293	289
401.04	 .011	285	278
401.77	 .018	278	267
402.49	 .019	275	263
403.21	 .02	273	261
403.94	 .025	269	254
404.66	 .027	268	252
405.38	 .034	275	254
406.11	 .039	277	253
406.83	 .05	256	228
407.55	 .047	255	229
408.28	 .052	246	218
409.00	 .048	259	232
409.72	 .067	252	216
410.44	 .056	246	216
411.16	 .061	244	212
