vol,ph,,,,
39.67,12.57,0,,,
40.17,12.57,0.024390244,,,
40.58,12.58,0.020408163,,,
41.07,12.59,0.025641026,,,
41.46,12.6,0,,,
41.77,12.6,0.048780488,,,
42.18,12.62,0.019607843,,,
42.69,12.63,-0.025,,,
43.09,12.62,0.033333333,,,
43.39,12.63,0.020408163,,,
43.88,12.64,0,,,
44.29,12.64,0.019607843,,,
44.8,12.65,0.034482759,,,
45.09,12.66,0,,,
45.5,12.66,0.04,,,
46,12.68,0,,,
46.4,12.68,-0.02,,,
46.9,12.67,0.05,,,
47.3,12.69,0,,,
47.69,12.69,0,,,
48,12.69,0,,,
48.41,12.69,0.025641026,,,
48.8,12.7,0.04,,,
49.3,12.72,-0.1,,,
49.4,12.71,0.257287449,,,
